fill time utc;[CH4]
08.08.21 06:02;2023
08.08.21 06:21;1996
08.08.21 06:41;2026
08.08.21 07:00;2000
08.08.21 07:39;2052
08.08.21 07:58;2098
08.08.21 08:18;2024
08.08.21 08:37;2043
08.08.21 09:16;2043
08.08.21 09:35;2023
08.08.21 09:54;2041
08.08.21 10:14;2050
08.08.21 10:53;2009
08.08.21 11:12;2017
08.08.21 11:31;1996
08.08.21 11:51;2025
08.08.21 12:29;2007
08.08.21 12:49;2006
08.08.21 13:08;1999
08.08.21 13:27;1999
08.08.21 14:25;2006
08.08.21 14:45;2038
08.08.21 15:24;1995
08.08.21 15:43;2008
08.08.21 16:02;1998
08.08.21 16:22;2003
08.08.21 17:00;2010
08.08.21 17:20;2038
08.08.21 17:39;2002
08.08.21 17:58;2046
08.08.21 18:37;2047
08.08.21 18:57;2023
08.08.21 19:16;2015
08.08.21 19:35;2027
08.08.21 20:14;2023
08.08.21 20:33;2047
08.08.21 20:53;2041
08.08.21 21:12;2038
08.08.21 21:51;2064
08.08.21 22:10;2020
08.08.21 22:30;2042
08.08.21 22:49;2098
08.08.21 23:28;2022
08.08.21 23:47;2072
09.08.21 00:06;2028
09.08.21 00:26;2036
09.08.21 01:04;2068
09.08.21 01:43;2048
09.08.21 02:03;2033
09.08.21 02:41;2024
09.08.21 03:01;2045
09.08.21 03:20;2035
09.08.21 03:39;2071
09.08.21 04:18;2081
09.08.21 04:37;2062
09.08.21 04:57;2079
09.08.21 05:16;2047
09.08.21 05:55;2029
09.08.21 06:14;2053
09.08.21 06:34;2028
09.08.21 06:53;2048
09.08.21 07:32;2030
09.08.21 07:51;2040
09.08.21 08:10;2069
09.08.21 08:30;2028
09.08.21 09:08;2016
09.08.21 09:28;2019
09.08.21 09:47;2031
09.08.21 10:07;2007
09.08.21 11:05;2026
09.08.21 11:24;2011
09.08.21 12:03;1994
09.08.21 12:22;1988
09.08.21 12:41;1988
09.08.21 13:01;1996
09.08.21 13:40;1988
09.08.21 13:59;1985
09.08.21 14:18;1977
09.08.21 14:38;1991
09.08.21 15:16;2022
09.08.21 15:36;1988
09.08.21 15:55;1985
09.08.21 16:14;1977
09.08.21 16:53;1985
09.08.21 17:13;1988
09.08.21 17:32;1998
09.08.21 17:51;2022
09.08.21 18:30;2015
09.08.21 18:49;1963
09.08.21 19:09;1968
09.08.21 19:28;1981
09.08.21 20:07;1974
09.08.21 20:26;2004
09.08.21 20:45;1967
09.08.21 21:05;2011
09.08.21 21:44;2061
09.08.21 22:03;2002
09.08.21 22:22;2049
09.08.21 22:42;2007
09.08.21 23:20;2643
09.08.21 23:40;3078
09.08.21 23:59;3441
10.08.21 00:18;2763
10.08.21 00:57;2175
10.08.21 01:17;2137
10.08.21 01:36;2128
