"fill.time.utc","X.CH4.","X.CH4..2H","d2H.VPDB","sd..CH4..x","sd.d2H","X.CH4..13C","d13C.VPDB","sd..CH4..y","sd.d13C","c13C","c2H"
2021-08-03 09:33:00,1976,NA,NA,NA,NA,1976,-48.24,"4","0,08",0.000506072874493927,NA
2021-08-03 09:52:00,1973,1973,-87.6,1,0.82,NA,NA,NA,NA,NA,0.000506842372022301
2021-08-03 10:11:00,1976,NA,NA,NA,NA,1976,-48.26,"4","0,08",0.000506072874493927,NA
2021-08-03 10:50:00,1993,NA,NA,NA,NA,1993,-48.07,"4","0,08",0.000501756146512795,NA
2021-08-03 11:09:00,1976,1976,-88.03,6,0.82,NA,NA,NA,NA,NA,0.000506072874493927
2021-08-03 11:29:00,2007,NA,NA,NA,NA,2007,-48.08,"4","0,08",0.00049825610363727,NA
2021-08-03 11:48:00,1993,1993,-89.81,6,0.82,NA,NA,NA,NA,NA,0.000501756146512795
2021-08-03 12:46:00,1995,NA,NA,NA,NA,1995,-48.27,"7","0,01",0.00050125313283208,NA
2021-08-03 13:06:00,1989,1989,-89.92,6,0.82,NA,NA,NA,NA,NA,0.000502765208647562
2021-08-03 14:04:00,2008,NA,NA,NA,NA,2008,-48.24,"7","0,01",0.00049800796812749,NA
2021-08-03 14:42:00,2002,NA,NA,NA,NA,2002,-48.14,"7","0,01",0.0004995004995005,NA
2021-08-03 15:02:00,1973,1973,-89,4,0.67,NA,NA,NA,NA,NA,0.000506842372022301
2021-08-03 15:21:00,1973,NA,NA,NA,NA,1973,-48.22,"6","0,01",0.000506842372022301,NA
2021-08-03 15:40:00,1973,1973,-88.47,4,0.67,NA,NA,NA,NA,NA,0.000506842372022301
2021-08-03 16:39:00,2002,NA,NA,NA,NA,2002,-48.22,"1","0,04",0.0004995004995005,NA
2021-08-03 16:58:00,1973,1973,-88.37,4,0.67,NA,NA,NA,NA,NA,0.000506842372022301
2021-08-03 17:17:00,2004,NA,NA,NA,NA,2004,-48.21,"1","0,04",0.000499001996007984,NA
2021-08-03 17:56:00,1975,NA,NA,NA,NA,1975,-48.22,"1","0,04",0.000506329113924051,NA
2021-08-03 18:15:00,1970,1970,-88.14,6,0.58,NA,NA,NA,NA,NA,0.00050761421319797
2021-08-03 18:35:00,1981,NA,NA,NA,NA,1981,-48.21,"1","0,04",0.000504795557799091,NA
2021-08-03 18:54:00,1974,1974,-88.39,6,0.58,NA,NA,NA,NA,NA,0.000506585612968592
2021-08-03 19:52:00,2051,NA,NA,NA,NA,2051,-47.97,"13","0,07",0.000487567040468064,NA
2021-08-03 20:12:00,2013,2013,-90.92,6,0.58,NA,NA,NA,NA,NA,0.000496770988574267
2021-08-03 20:31:00,2031,NA,NA,NA,NA,2031,-48.16,"13","0,07",0.000492368291482029,NA
2021-08-03 21:10:00,2034,NA,NA,NA,NA,2034,-48.27,"13","0,07",0.000491642084562439,NA
2021-08-03 21:29:00,2043,2043,-94.53,6,0.44,NA,NA,NA,NA,NA,0.000489476260401371
2021-08-03 21:48:00,2028,NA,NA,NA,NA,2028,-48.32,"13","0,07",0.000493096646942801,NA
2021-08-03 22:08:00,2029,2029,-93.83,6,0.44,NA,NA,NA,NA,NA,0.000492853622474125
2021-08-03 23:06:00,2069,NA,NA,NA,NA,2069,-48.26,"17","0,05",0.000483325277912035,NA
2021-08-03 23:25:00,2061,2061,-96.33,6,0.44,NA,NA,NA,NA,NA,0.000485201358563804
2021-08-03 23:45:00,2087,NA,NA,NA,NA,2087,-48.3,"17","0,05",0.000479156684235745,NA
2021-08-04 00:23:00,2070,NA,NA,NA,NA,2070,-48.44,"17","0,05",0.000483091787439614,NA
2021-08-04 00:43:00,2076,2076,-98.49,5,0.32,NA,NA,NA,NA,NA,0.000481695568400771
2021-08-04 01:02:00,2080,NA,NA,NA,NA,2080,-48.43,"17","0,05",0.000480769230769231,NA
2021-08-04 01:21:00,2086,2086,-99.86,5,0.32,NA,NA,NA,NA,NA,0.000479386385426654
2021-08-04 02:19:00,2159,NA,NA,NA,NA,2159,-48.48,"7","0,07",0.000463177396943029,NA
2021-08-04 02:39:00,2142,2142,-104.87,6,0.32,NA,NA,NA,NA,NA,0.000466853408029879
2021-08-04 02:58:00,2198,NA,NA,NA,NA,2198,-48.58,"7","0,07",0.000454959053685168,NA
2021-08-04 03:37:00,2174,NA,NA,NA,NA,2174,-48.74,"7","0,07",0.000459981600735971,NA
2021-08-04 03:56:00,2182,2182,-107.85,7,0.51,NA,NA,NA,NA,NA,0.000458295142071494
2021-08-04 04:16:00,2183,NA,NA,NA,NA,2183,-48.67,"7","0,07",0.000458085203847916,NA
2021-08-04 04:35:00,2162,2162,-106.97,7,0.51,NA,NA,NA,NA,NA,0.000462534690101758
2021-08-04 05:33:00,2099,NA,NA,NA,NA,2099,-48.64,"15","0,03",0.000476417341591234,NA
2021-08-04 05:52:00,2106,2106,-102.07,6,0.51,NA,NA,NA,NA,NA,0.000474833808167142
2021-08-04 06:12:00,2100,NA,NA,NA,NA,2100,-48.54,"15","0,03",0.000476190476190476,NA
2021-08-04 06:50:00,2083,NA,NA,NA,NA,2083,-48.44,"15","0,03",0.000480076812289966,NA
2021-08-04 07:10:00,2065,2065,-98.44,7,0.52,NA,NA,NA,NA,NA,0.000484261501210654
2021-08-04 07:29:00,2045,NA,NA,NA,NA,2045,-48.48,"15","0,03",0.000488997555012225,NA
2021-08-04 07:49:00,2061,2061,-97.19,7,0.52,NA,NA,NA,NA,NA,0.000485201358563804
2021-08-04 08:27:00,2067,2067,-97.53,7,0.52,NA,NA,NA,NA,NA,0.000483792936623125
2021-08-04 08:47:00,2064,NA,NA,NA,NA,2064,-48.35,"25","0,05",0.000484496124031008,NA
2021-08-04 10:04:00,2004,NA,NA,NA,NA,2004,-48.4,"24","0,05",0.000499001996007984,NA
2021-08-04 10:43:00,1989,NA,NA,NA,NA,1989,-48.31,"24","0,05",0.000502765208647562,NA
2021-08-04 11:02:00,2007,2007,-90.59,4,0.39,NA,NA,NA,NA,NA,0.00049825610363727
2021-08-04 11:22:00,1979,NA,NA,NA,NA,1979,-48.22,"24","0,05",0.000505305709954523,NA
2021-08-04 11:41:00,1989,1989,-90.36,4,0.39,NA,NA,NA,NA,NA,0.000502765208647562
2021-08-04 12:20:00,1968,1968,-89.79,4,0.39,NA,NA,NA,NA,NA,0.000508130081300813
2021-08-04 12:39:00,2009,NA,NA,NA,NA,2009,-48.05,"2","0,01",0.000497760079641613,NA
2021-08-04 12:58:00,1978,1978,-89.11,4,0.39,NA,NA,NA,NA,NA,0.000505561172901921
2021-08-04 13:18:00,2000,NA,NA,NA,NA,2000,-48.11,"2","0,01",5e-04,NA
2021-08-04 13:56:00,1967,NA,NA,NA,NA,1967,-48.19,"2","0,01",0.000508388408744281,NA
2021-08-04 14:16:00,2007,2007,-90.09,1,0.45,NA,NA,NA,NA,NA,0.00049825610363727
2021-08-04 14:35:00,1982,NA,NA,NA,NA,1982,-48.19,"2","0,01",0.000504540867810293,NA
2021-08-04 14:54:00,2015,2015,-92.02,1,0.45,NA,NA,NA,NA,NA,0.000496277915632754
2021-08-04 15:33:00,2009,2009,-92.23,1,0.45,NA,NA,NA,NA,NA,0.000497760079641613
2021-08-04 15:53:00,2011,NA,NA,NA,NA,2011,-48.12,"14","0,08",0.000497265042267529,NA
2021-08-04 16:12:00,1978,1978,-90.5,1,0.45,NA,NA,NA,NA,NA,0.000505561172901921
2021-08-04 16:31:00,1997,NA,NA,NA,NA,1997,-48.18,"14","0,08",0.000500751126690035,NA
2021-08-04 17:10:00,1976,NA,NA,NA,NA,1976,-48.17,"14","0,08",0.000506072874493927,NA
2021-08-04 17:29:00,1975,1975,-89.99,1,0.51,NA,NA,NA,NA,NA,0.000506329113924051
2021-08-04 17:49:00,1976,NA,NA,NA,NA,1976,-48.22,"14","0,08",0.000506072874493927,NA
2021-08-04 18:08:00,1981,1981,-89.07,1,0.51,NA,NA,NA,NA,NA,0.000504795557799091
2021-08-04 18:47:00,2000,2000,-91.72,1,0.51,NA,NA,NA,NA,NA,5e-04
2021-08-04 19:06:00,2012,NA,NA,NA,NA,2012,-48.23,"21","0,06",0.000497017892644135,NA
2021-08-04 19:26:00,2020,2020,-93.77,1,0.51,NA,NA,NA,NA,NA,0.000495049504950495
2021-08-04 19:45:00,2057,NA,NA,NA,NA,2057,-48.29,"21","0,06",0.000486144871171609,NA
2021-08-04 20:24:00,2030,NA,NA,NA,NA,2030,-48.28,"21","0,06",0.000492610837438424,NA
2021-08-04 20:43:00,2052,2052,-96.35,3,0.39,NA,NA,NA,NA,NA,0.000487329434697856
2021-08-04 21:02:00,2027,NA,NA,NA,NA,2027,-48.33,"21","0,06",0.000493339911198816,NA
2021-08-04 21:22:00,2033,2033,-96.63,3,0.39,NA,NA,NA,NA,NA,0.000491883915395967
2021-08-04 22:00:00,2044,2044,-98.98,3,0.39,NA,NA,NA,NA,NA,0.000489236790606654
2021-08-04 22:20:00,2071,NA,NA,NA,NA,2071,-48.57,"11","0,03",0.000482858522452921,NA
2021-08-04 22:39:00,2045,2045,-97.93,3,0.39,NA,NA,NA,NA,NA,0.000488997555012225
2021-08-04 22:59:00,2098,NA,NA,NA,NA,2098,-48.58,"11","0,03",0.000476644423260248,NA
2021-08-04 23:37:00,2062,NA,NA,NA,NA,2062,-48.56,"11","0,03",0.000484966052376334,NA
2021-08-04 23:57:00,2071,2071,-97.22,9,0.94,NA,NA,NA,NA,NA,0.000482858522452921
2021-08-05 00:16:00,2061,NA,NA,NA,NA,2061,-48.46,"11","0,03",0.000485201358563804,NA
2021-08-05 00:35:00,2059,2059,-96.06,8,0.94,NA,NA,NA,NA,NA,0.000485672656629432
2021-08-05 01:14:00,2040,2040,-97.13,8,0.94,NA,NA,NA,NA,NA,0.000490196078431373
2021-08-05 01:33:00,2063,NA,NA,NA,NA,2063,-48.59,"6","0,00",0.000484730974309258,NA
2021-08-05 01:53:00,2028,2028,-95.73,8,0.94,NA,NA,NA,NA,NA,0.000493096646942801
2021-08-05 02:12:00,2079,NA,NA,NA,NA,2079,-48.57,"6","0,00",0.000481000481000481,NA
2021-08-05 02:51:00,2048,NA,NA,NA,NA,2048,-48.51,"6","0,00",0.00048828125,NA
2021-08-05 03:10:00,2032,2032,-94.33,2,0.68,NA,NA,NA,NA,NA,0.000492125984251968
2021-08-05 03:30:00,2042,NA,NA,NA,NA,2042,-48.33,"6","0,00",0.000489715964740451,NA
2021-08-05 03:49:00,2030,2030,-94.85,2,0.68,NA,NA,NA,NA,NA,0.000492610837438424
2021-08-05 04:28:00,2027,2027,-94.97,2,0.68,NA,NA,NA,NA,NA,0.000493339911198816
2021-08-05 04:47:00,2043,NA,NA,NA,NA,2043,-48.34,"5","0,01",0.000489476260401371,NA
2021-08-05 05:06:00,2020,2020,-94.88,2,0.68,NA,NA,NA,NA,NA,0.000495049504950495
2021-08-05 06:04:00,2058,NA,NA,NA,NA,2058,-48.4,"5","0,01",0.000485908649173955,NA
2021-08-05 06:43:00,2029,NA,NA,NA,NA,2029,-48.27,"5","0,01",0.000492853622474125,NA
2021-08-05 07:03:00,2024,2024,-93.98,8,0.37,NA,NA,NA,NA,NA,0.000494071146245059
2021-08-05 07:22:00,2030,NA,NA,NA,NA,2030,-48.28,"5","0,01",0.000492610837438424,NA
2021-08-05 07:41:00,2022,2022,-93.44,8,0.37,NA,NA,NA,NA,NA,0.000494559841740851
2021-08-05 08:20:00,2045,2045,-96.62,8,0.37,NA,NA,NA,NA,NA,0.000488997555012225
2021-08-05 08:39:00,2115,NA,NA,NA,NA,2115,-48.75,"7","0,12",0.000472813238770686,NA
2021-08-05 08:59:00,2032,2032,-95.81,8,0.37,NA,NA,NA,NA,NA,0.000492125984251968
2021-08-05 09:18:00,2034,NA,NA,NA,NA,2034,-48.36,"7","0,12",0.000491642084562439,NA
2021-08-05 09:57:00,2012,NA,NA,NA,NA,2012,-48.35,"7","0,12",0.000497017892644135,NA
2021-08-05 10:16:00,1995,1995,-92.37,4,0.25,NA,NA,NA,NA,NA,0.00050125313283208
2021-08-05 10:36:00,1990,NA,NA,NA,NA,1990,-48.38,"7","0,12",0.00050251256281407,NA
2021-08-05 10:55:00,1988,1988,-91.65,4,0.25,NA,NA,NA,NA,NA,0.000503018108651912
2021-08-05 11:34:00,1976,1976,-89.05,4,0.25,NA,NA,NA,NA,NA,0.000506072874493927
2021-08-05 11:53:00,2002,NA,NA,NA,NA,2002,-48.11,"8","0,01",0.0004995004995005,NA
2021-08-05 12:12:00,1988,1988,-90.64,4,0.25,NA,NA,NA,NA,NA,0.000503018108651912
2021-08-05 12:32:00,2022,NA,NA,NA,NA,2022,-48.36,"8","0,01",0.000494559841740851,NA
2021-08-05 13:10:00,1992,NA,NA,NA,NA,1992,-48.26,"8","0,01",0.000502008032128514,NA
2021-08-05 13:30:00,1999,1999,-91.5,3,0.32,NA,NA,NA,NA,NA,0.000500250125062531
2021-08-05 13:49:00,2009,NA,NA,NA,NA,2009,-48.18,"8","0,01",0.000497760079641613,NA
2021-08-05 14:09:00,2013,2013,-90.82,3,0.32,NA,NA,NA,NA,NA,0.000496770988574267
2021-08-05 14:47:00,2006,2006,-90.93,3,0.32,NA,NA,NA,NA,NA,0.000498504486540379
2021-08-05 15:07:00,1977,NA,NA,NA,NA,1977,-48.27,"17","0,04",0.000505816894284269,NA
2021-08-05 15:26:00,1994,1994,-89.76,3,0.32,NA,NA,NA,NA,NA,0.000501504513540622
