fill time utc;[CH4] 2H;d2H VPDB;sd [CH4];sd d2H
10.08.21 01:17;2137;-105,06;10;0,34
10.08.21 01:55;2129;-102,79;10;0,34
10.08.21 02:34;2081;-99,88;10;0,34
10.08.21 03:13;2084;-99,16;10;0,34
10.08.21 04:30;2051;-96,59;1;0,01
10.08.21 05:09;2052;-95,82;1;0,01
10.08.21 05:48;2049;-95,60;1;0,01
10.08.21 06:26;2088;-100,23;1;0,01
10.08.21 07:44;2061;-99,14;1;0,01
10.08.21 09:01;2064;-96,37;16;1,18
10.08.21 09:40;2033;-95,00;16;1,18
10.08.21 10:19;2027;-93,93;16;1,18
10.08.21 10:57;2044;-96,90;16;1,18
10.08.21 12:15;2062;-97,31;10;0,69
10.08.21 12:54;2044;-96,41;10;0,69
10.08.21 13:32;2054;-96,95;10;0,69
10.08.21 14:11;2017;-93,48;10;0,69
10.08.21 15:28;2022;-93,60;7;0,24
10.08.21 16:07;2003;-93,25;7;0,24
10.08.21 16:46;2024;-93,70;7;0,24
10.08.21 17:25;2011;-93,12;7;0,24
10.08.21 18:42;2026;-94,54;15;0,24
10.08.21 19:21;2058;-97,60;16;0,24
10.08.21 20:00;2069;-97,37;16;0,24
10.08.21 20:38;2094;-100,76;16;0,24
10.08.21 21:56;2158;-103,52;5;0,18
10.08.21 22:34;2146;-106,48;4;0,18
10.08.21 23:13;2148;-106,04;5;0,18
10.08.21 23:52;2204;-108,49;5;0,18
11.08.21 01:09;2257;-113,80;3;0,29
11.08.21 01:48;2269;-113,89;3;0,29
11.08.21 02:27;2228;-112,54;3;0,29
11.08.21 03:05;2227;-112,41;3;0,29
11.08.21 04:23;2223;-112,30;3;0,29
11.08.21 05:40;2209;-112,25;2;0,55
11.08.21 06:19;2206;-111,47;2;0,55
11.08.21 06:58;2119;-105,10;2;0,55
11.08.21 07:37;2072;-97,88;2;0,55
11.08.21 08:54;2092;-98,77;1;0,08
11.08.21 09:33;2029;-92,55;1;0,08
11.08.21 10:11;2004;-91,22;1;0,08
11.08.21 10:50;2021;-92,61;1;0,08
11.08.21 12:08;2021;-94,13;9;0,56
11.08.21 12:46;2016;-94,21;9;0,56
11.08.21 13:25;2030;-94,11;9;0,56
11.08.21 14:04;2054;-94,54;9;0,56
11.08.21 15:21;2017;-92,13;18;0,13
11.08.21 16:00;2022;-95,35;18;0,13
11.08.21 16:39;2011;-93,95;18;0,13
11.08.21 17:17;2028;-93,79;18;0,13
11.08.21 18:35;2051;-93,47;1;0,00
11.08.21 19:14;2052;-94,79;1;0,00
11.08.21 19:52;2067;-96,41;1;0,00
11.08.21 20:31;2089;-96,68;1;0,00
11.08.21 21:48;2063;-96,47;2;0,01
11.08.21 22:27;2095;-99,79;2;0,01
11.08.21 23:06;2076;-97,30;2;0,01
11.08.21 23:45;2097;-98,70;2;0,01
12.08.21 01:02;3690;-193,97;3;0,01
12.08.21 02:20;2276;-117,07;11;0,43
12.08.21 02:58;2285;-117,95;11;0,43
12.08.21 03:37;2251;-116,53;11;0,43
12.08.21 04:16;2196;-112,86;11;0,43
12.08.21 05:33;2131;-105,34;5;0,30
12.08.21 06:12;2223;-112,08;5;0,30
12.08.21 06:51;2131;-105,82;5;0,30
12.08.21 07:29;2130;-104,22;5;0,30
12.08.21 10:14;2015;-93,31;3;0,72
12.08.21 10:52;2012;-92,55;3;0,72
12.08.21 11:31;1992;-91,41;3;0,72
12.08.21 12:10;1994;-92,62;3;0,72
12.08.21 13:27;2060;-98,46;26;0,11
12.08.21 14:06;2008;-90,30;25;0,11
12.08.21 14:45;2005;-90,65;25;0,11
12.08.21 15:23;1984;-91,02;25;0,11
12.08.21 16:41;2022;-91,86;7;0,30
12.08.21 17:20;2037;-93,00;7;0,30
12.08.21 17:58;2046;-94,81;7;0,30
12.08.21 18:37;2061;-95,43;7;0,30
12.08.21 19:54;2086;-97,85;8;0,06
12.08.21 20:33;2150;-103,12;8;0,06
12.08.21 21:12;2150;-104,13;8;0,06
12.08.21 21:51;2201;-108,06;8;0,06
12.08.21 23:08;2226;-111,54;1;0,09
12.08.21 23:47;2167;-107,93;1;0,09
13.08.21 00:25;2173;-106,71;1;0,09
13.08.21 01:04;2195;-108,67;1;0,09
13.08.21 02:22;3156;-171,00;15;0,77
13.08.21 03:00;2386;-125,15;11;0,77
13.08.21 03:39;2221;-113,64;11;0,77
13.08.21 04:18;2207;-110,59;10;0,77
13.08.21 05:35;2417;-126,31;11;0,77
13.08.21 06:53;2202;-112,82;11;0,12
13.08.21 07:31;2164;-108,44;11;0,12
13.08.21 08:10;2160;-110,59;11;0,12
13.08.21 08:49;2180;-110,55;11;0,12
13.08.21 10:06;2131;-104,64;6;0,31
13.08.21 10:45;2079;-102,00;6;0,31
13.08.21 11:23;2047;-98,92;6;0,31
13.08.21 12:02;2074;-99,27;6;0,31
13.08.21 13:20;2142;-103,26;15;0,39
13.08.21 13:58;2158;-106,76;15;0,39
13.08.21 14:37;2123;-103,92;15;0,39
13.08.21 15:16;2075;-98,42;14;0,39
13.08.21 16:33;2024;-94,11;9;0,71
13.08.21 17:12;2001;-91,41;9;0,71
13.08.21 17:50;1978;-90,66;9;0,71
13.08.21 18:29;2018;-91,19;9;0,71
13.08.21 19:47;2001;-90,57;13;0,57
13.08.21 20:25;1992;-89,69;13;0,57
13.08.21 21:04;2013;-90,69;13;0,57
13.08.21 21:43;1993;-91,13;13;0,57
13.08.21 23:00;2029;-93,28;13;1,89
13.08.21 23:39;2041;-93,62;13;1,89
14.08.21 00:17;2049;-94,57;13;1,89
14.08.21 00:56;2087;-99,89;13;1,89
14.08.21 02:14;2108;-103,21;14;1,89
14.08.21 03:31;2098;-100,27;24;0,13
14.08.21 04:10;2088;-100,34;24;0,13
14.08.21 04:48;2103;-100,27;24;0,13
14.08.21 05:27;2081;-99,19;24;0,13
14.08.21 06:44;2092;-97,73;;
14.08.21 07:23;2072;-99,31;;
14.08.21 08:02;2054;-98,81;;
14.08.21 08:41;2057;-96,70;;
14.08.21 09:58;2035;-94,52;;
14.08.21 10:37;2082;-96,43;;
14.08.21 11:15;2071;-97,11;;
14.08.21 11:54;2014;-90,77;;
14.08.21 13:12;2022;-93,62;9;0,34
14.08.21 13:50;2025;-93,28;9;0,34
14.08.21 14:29;2024;-94,39;9;0,34
14.08.21 15:08;2047;-95,37;9;0,34
14.08.21 16:25;2017;-93,07;9;0,53
14.08.21 17:04;2009;-92,60;9;0,53
14.08.21 17:42;1994;-88,92;9;0,53
14.08.21 18:21;1985;-90,56;9;0,53
14.08.21 19:39;1985;-89,49;3;0,06
14.08.21 20:17;1998;-89,17;3;0,06
14.08.21 20:56;1989;-91,31;3;0,06
14.08.21 21:35;2015;-92,80;3;0,06
14.08.21 22:52;2035;-93,40;3;0,06
15.08.21 00:09;2096;-101,50;13;0,48
15.08.21 00:48;2094;-101,13;13;0,48
15.08.21 01:27;2098;-101,47;13;0,48
15.08.21 02:06;2122;-101,71;13;0,48
15.08.21 03:23;2154;-105,01;1;0,47
15.08.21 04:02;2174;-107,35;1;0,47
15.08.21 04:40;2113;-102,53;1;0,47
15.08.21 05:19;2088;-100,30;1;0,47
15.08.21 06:36;2061;-94,80;2;0,52
15.08.21 07:15;2030;-94,21;2;0,52
15.08.21 07:54;2075;-97,77;2;0,52
15.08.21 08:33;2051;-95,80;2;0,52
15.08.21 09:50;2207;-111,14;11;0,73
15.08.21 10:29;2211;-110,82;11;0,73
15.08.21 11:07;2198;-110,61;11;0,73
15.08.21 11:46;2194;-109,03;11;0,73
15.08.21 13:03;2158;-105,48;6;0,11
15.08.21 13:42;2173;-107,13;6;0,11
15.08.21 14:21;2186;-110,09;6;0,11
15.08.21 15:00;2292;-118,47;7;0,11
15.08.21 16:17;2052;-96,40;4;0,00
15.08.21 16:56;2051;-96,70;4;0,00
15.08.21 17:34;2100;-102,98;4;0,00
15.08.21 18:13;2121;-101,65;4;0,00
15.08.21 19:30;2088;-99,03;4;0,00
15.08.21 20:48;2086;-97,86;8;0,10
15.08.21 21:27;2100;-100,08;8;0,10
15.08.21 22:05;2130;-101,42;8;0,10
15.08.21 22:44;2134;-101,55;8;0,10
16.08.21 00:01;2058;-95,84;0;0,08
16.08.21 00:40;2014;-93,27;0;0,08
16.08.21 01:19;2030;-94,46;0;0,08
16.08.21 01:57;2074;-96,40;0;0,08
16.08.21 03:15;2194;-109,60;5;0,11
16.08.21 03:54;2803;-154,51;6;0,11
16.08.21 04:32;2092;-99,64;5;0,11
16.08.21 05:11;2104;-101,61;5;0,11
16.08.21 06:28;2119;-101,81;16;0,44
16.08.21 07:07;2104;-100,69;16;0,44
16.08.21 07:46;2062;-96,72;16;0,44
16.08.21 08:24;2028;-97,50;15;0,44
16.08.21 09:42;2041;-94,31;16;0,44
16.08.21 10:21;2041;-93,87;15;0,44
16.08.21 14:13;1995;-89,73;34;1,40
16.08.21 14:51;2006;-93,90;35;1,40
